site_id,COMID,status,comments
KRWAMIS-1001603,,MATCHED,
KRWAMIS-1001660,42067178,MATCHED,
KRWAMIS-1002675,42066483,MATCHED,
KRWAMIS-1003658,42067180,MATCHED,
KRWAMIS-1003657,42067159,MATCHED,
KRWAMIS-1003661,42066676,MATCHED,
KRWAMIS-1004685,42066530,MATCHED,
KRWAMIS-1006610,42065737,MATCHED,
KRWAMIS-1006665,42067207,MATCHED,
KRWAMIS-1007642,42067197,MATCHED,
KRWAMIS-1007655,42067237,MATCHED,
KRWAMIS-1010640,42065704,MATCHED,
KRWAMIS-1010670,42065493,MATCHED,
KRWAMIS-1011693,,MATCHED,
KRWAMIS-1013610,42065938,MATCHED,
KRWAMIS-1015620,42065753,MATCHED,
KRWAMIS-1018620,42065917,MATCHED,
KRWAMIS-1018625,42065758,MATCHED,
KRWAMIS-1018670,42065858,MATCHED,
KRWAMIS-1018675,42065691,MATCHED,
KRWAMIS-1018695,42067253,MATCHED,
KRWAMIS-1018698,42065453,MATCHED,
KRWAMIS-1019667,42065891,MATCHED,
KRWAMIS-1022626,42065663,MATCHED,
KRWAMIS-1022643,42065531,MATCHED,
KRWAMIS-1022647,42065934,MATCHED,
KRWAMIS-1022648,42065702,MATCHED,
KRWAMIS-1022664,42065518,MATCHED,
KRWAMIS-1022668,42065723,MATCHED,
KRWAMIS-1023674,42065806,MATCHED,
KRWAMIS-1101610,42066760,MATCHED,
KRWAMIS-1101645,42067206,MATCHED,
KRWAMIS-1302648,42065765,MATCHED,
KRWAMIS-1303610,42066755,MATCHED,
KRWAMIS-2001625,42067083,MATCHED,
KRWAMIS-2002613,,MATCHED,Auto-skipped: NO_CANDIDATES
KRWAMIS-2002638,42066594,MATCHED,
KRWAMIS-2002685,42066598,MATCHED,
KRWAMIS-2004605,42066721,MATCHED,
KRWAMIS-2004608,42066678,MATCHED,
KRWAMIS-2004615,42066763,MATCHED,
KRWAMIS-2005640,42066644,MATCHED,
KRWAMIS-2008605,42066843,MATCHED,
KRWAMIS-2008635,42066634,MATCHED,
KRWAMIS-2008665,42066549,MATCHED,
